wavelength,intensity
697.155172413793,1
695.3793103448276,1
693.603448275862,2
691.8275862068965,2
690.0517241379309,1
688.2758620689655,1
686.4999999999999,2
684.7241379310344,1
682.9482758620688,1
681.1724137931034,1
679.3965517241379,1
677.6206896551723,2
675.8448275862069,2
674.0689655172413,1
672.2931034482758,0
670.5172413793102,0
668.7413793103448,1
666.9655172413792,1
665.1896551724137,1
663.4137931034483,1
661.6379310344827,1
659.8620689655172,1
658.0862068965516,2
656.3103448275862,3
654.5344827586206,2
652.7586206896551,2
650.9827586206895,1
649.2068965517241,1
647.4310344827586,1
645.655172413793,1
643.8793103448276,1
642.103448275862,1
640.3275862068965,1
638.5517241379309,2
636.7758620689655,1
634.9999999999999,2
633.2241379310344,2
631.4482758620688,1
629.6724137931034,1
627.8965517241379,1
626.1206896551723,0
624.3448275862069,0
622.5689655172413,1
620.7931034482758,4
619.0172413793102,2
617.2413793103448,1
615.4655172413792,1
613.6896551724137,1
611.9137931034483,1
610.1379310344827,2
608.3620689655172,2
606.5862068965516,2
604.8103448275862,2
603.0344827586206,2
601.2586206896551,2
599.4827586206895,1
597.7068965517241,2
595.9310344827585,4
594.155172413793,3
592.3793103448276,2
590.603448275862,1
588.8275862068965,1
587.0517241379309,1
585.2758620689655,2
583.4999999999999,2
581.7241379310344,2
579.9482758620688,2
578.1724137931034,3
576.3965517241379,3
574.6206896551723,1
572.8448275862069,2
571.0689655172413,3
569.2931034482758,2
567.5172413793102,1
565.7413793103448,1
563.9655172413792,1
562.1896551724137,2
560.4137931034481,1
558.6379310344827,2
556.8620689655172,3
555.0862068965516,2
553.3103448275862,1
551.5344827586206,1
549.7586206896551,1
547.9827586206895,2
546.2068965517241,2
544.4310344827585,2
542.655172413793,3
540.8793103448276,2
539.103448275862,3
537.3275862068965,2
535.5517241379309,3
533.7758620689655,3
531.9999999999999,3
530.2241379310344,4
528.4482758620688,6
526.6724137931034,4
524.8965517241379,3
523.1206896551723,3
521.3448275862069,2
519.5689655172413,3
517.7931034482758,3
516.0172413793102,3
514.2413793103448,3
512.4655172413792,2
510.6896551724137,4
508.91379310344814,10
507.1379310344827,18
505.3620689655172,37
503.58620689655163,46
501.81034482758616,56
500.0344827586206,73
498.2586206896551,66
496.48275862068954,81
494.70689655172407,65
492.9310344827585,80
491.155172413793,56
489.37931034482756,79
487.603448275862,57
485.8275862068965,83
484.05172413793093,53
482.27586206896547,68
480.4999999999999,45
478.7241379310344,61
476.94827586206884,39
475.1724137931034,46
473.3965517241378,34
471.6206896551723,44
469.84482758620686,43
468.0689655172413,44
466.2931034482758,45
464.51724137931024,39
462.74137931034477,43
460.9655172413792,32
459.1896551724137,34
457.41379310344814,29
455.6379310344827,38
453.8620689655172,32
452.08620689655163,35
450.31034482758616,33
448.5344827586206,41
446.7586206896551,34
444.98275862068954,32
443.20689655172407,27
441.4310344827585,26
439.655172413793,24
437.87931034482745,25
436.103448275862,23
434.3275862068965,18
432.55172413793093,9
430.77586206896547,7
428.9999999999999,6
427.2241379310344,4
425.44827586206884,2
423.67241379310326,2
421.8965517241379,1
420.1206896551723,2
418.34482758620675,1
416.5689655172414,1
