wavelength,intensity
697.155172413793,3
695.3793103448276,2
693.603448275862,1
691.8275862068965,0
690.0517241379309,0
688.2758620689655,2
686.4999999999999,1
684.7241379310344,2
682.9482758620688,2
681.1724137931034,2
679.3965517241379,1
677.6206896551723,1
675.8448275862069,1
674.0689655172413,1
672.2931034482758,0
670.5172413793102,2
668.7413793103448,2
666.9655172413792,2
665.1896551724137,2
663.4137931034483,2
661.6379310344827,2
659.8620689655172,2
658.0862068965516,1
656.3103448275862,2
654.5344827586206,2
652.7586206896551,2
650.9827586206895,3
649.2068965517241,2
647.4310344827586,3
645.655172413793,2
643.8793103448276,1
642.103448275862,2
640.3275862068965,2
638.5517241379309,3
636.7758620689655,2
634.9999999999999,1
633.2241379310344,2
631.4482758620688,2
629.6724137931034,3
627.8965517241379,3
626.1206896551723,5
624.3448275862069,4
622.5689655172413,5
620.7931034482758,8
619.0172413793102,3
617.2413793103448,1
615.4655172413792,4
613.6896551724137,7
611.9137931034483,3
610.1379310344827,2
608.3620689655172,2
606.5862068965516,2
604.8103448275862,2
603.0344827586206,3
601.2586206896551,2
599.4827586206895,2
597.7068965517241,3
595.9310344827585,3
594.155172413793,4
592.3793103448276,4
590.603448275862,3
588.8275862068965,3
587.0517241379309,3
585.2758620689655,3
583.4999999999999,3
581.7241379310344,4
579.9482758620688,3
578.1724137931034,4
576.3965517241379,3
574.6206896551723,2
572.8448275862069,3
571.0689655172413,2
569.2931034482758,6
567.5172413793102,6
565.7413793103448,3
563.9655172413792,3
562.1896551724137,3
560.4137931034481,4
558.6379310344827,3
556.8620689655172,2
555.0862068965516,2
553.3103448275862,3
551.5344827586206,2
549.7586206896551,3
547.9827586206895,3
546.2068965517241,2
544.4310344827585,2
542.655172413793,2
540.8793103448276,4
539.103448275862,2
537.3275862068965,2
535.5517241379309,3
533.7758620689655,2
531.9999999999999,4
530.2241379310344,4
528.4482758620688,3
526.6724137931034,2
524.8965517241379,3
523.1206896551723,3
521.3448275862069,4
519.5689655172413,4
517.7931034482758,7
516.0172413793102,14
514.2413793103448,15
512.4655172413792,15
510.6896551724137,16
508.91379310344814,13
507.1379310344827,16
505.3620689655172,14
503.58620689655163,19
501.81034482758616,12
500.0344827586206,14
498.2586206896551,12
496.48275862068954,16
494.70689655172407,16
492.9310344827585,15
491.155172413793,21
489.37931034482756,21
487.603448275862,23
485.8275862068965,25
484.05172413793093,30
482.27586206896547,22
480.4999999999999,16
478.7241379310344,15
476.94827586206884,10
475.1724137931034,10
473.3965517241378,8
471.6206896551723,12
469.84482758620686,8
468.0689655172413,14
466.2931034482758,13
464.51724137931024,13
462.74137931034477,13
460.9655172413792,15
459.1896551724137,21
457.41379310344814,18
455.6379310344827,22
453.8620689655172,18
452.08620689655163,13
450.31034482758616,12
448.5344827586206,15
446.7586206896551,10
444.98275862068954,5
443.20689655172407,2
441.4310344827585,2
439.655172413793,1
437.87931034482745,1
436.103448275862,2
434.3275862068965,2
432.55172413793093,0
430.77586206896547,1
428.9999999999999,2
427.2241379310344,1
425.44827586206884,2
423.67241379310326,1
421.8965517241379,0
420.1206896551723,0
418.34482758620675,0
416.5689655172414,1
