wavelength,intensity
697.155172413793,1
695.3793103448276,1
693.603448275862,1
691.8275862068965,1
690.0517241379309,1
688.2758620689655,1
686.4999999999999,2
684.7241379310344,2
682.9482758620688,1
681.1724137931034,2
679.3965517241379,2
677.6206896551723,1
675.8448275862069,1
674.0689655172413,1
672.2931034482758,1
670.5172413793102,1
668.7413793103448,1
666.9655172413792,2
665.1896551724137,2
663.4137931034483,1
661.6379310344827,1
659.8620689655172,2
658.0862068965516,3
656.3103448275862,2
654.5344827586206,3
652.7586206896551,3
650.9827586206895,3
649.2068965517241,2
647.4310344827586,2
645.655172413793,2
643.8793103448276,2
642.103448275862,1
640.3275862068965,1
638.5517241379309,1
636.7758620689655,2
634.9999999999999,2
633.2241379310344,2
631.4482758620688,2
629.6724137931034,3
627.8965517241379,1
626.1206896551723,2
624.3448275862069,2
622.5689655172413,3
620.7931034482758,2
619.0172413793102,2
617.2413793103448,1
615.4655172413792,1
613.6896551724137,1
611.9137931034483,3
610.1379310344827,2
608.3620689655172,2
606.5862068965516,2
604.8103448275862,2
603.0344827586206,3
601.2586206896551,4
599.4827586206895,3
597.7068965517241,2
595.9310344827585,3
594.155172413793,3
592.3793103448276,2
590.603448275862,3
588.8275862068965,3
587.0517241379309,3
585.2758620689655,3
583.4999999999999,3
581.7241379310344,3
579.9482758620688,5
578.1724137931034,4
576.3965517241379,5
574.6206896551723,4
572.8448275862069,7
571.0689655172413,10
569.2931034482758,20
567.5172413793102,18
565.7413793103448,13
563.9655172413792,22
562.1896551724137,17
560.4137931034481,19
558.6379310344827,35
556.8620689655172,24
555.0862068965516,35
553.3103448275862,26
551.5344827586206,25
549.7586206896551,32
547.9827586206895,26
546.2068965517241,29
544.4310344827585,17
542.655172413793,22
540.8793103448276,12
539.103448275862,9
537.3275862068965,7
535.5517241379309,7
533.7758620689655,10
531.9999999999999,12
530.2241379310344,17
528.4482758620688,27
526.6724137931034,49
524.8965517241379,82
523.1206896551723,109
521.3448275862069,137
519.5689655172413,117
517.7931034482758,127
516.0172413793102,105
514.2413793103448,117
512.4655172413792,102
510.6896551724137,118
508.91379310344814,114
507.1379310344827,128
505.3620689655172,111
503.58620689655163,115
501.81034482758616,97
500.0344827586206,99
498.2586206896551,90
496.48275862068954,91
494.70689655172407,88
492.9310344827585,84
491.155172413793,92
489.37931034482756,87
487.603448275862,100
485.8275862068965,97
484.05172413793093,102
482.27586206896547,84
480.4999999999999,89
478.7241379310344,65
476.94827586206884,66
475.1724137931034,59
473.3965517241378,67
471.6206896551723,65
469.84482758620686,73
468.0689655172413,69
466.2931034482758,76
464.51724137931024,63
462.74137931034477,63
460.9655172413792,50
459.1896551724137,47
457.41379310344814,46
455.6379310344827,47
453.8620689655172,44
452.08620689655163,38
450.31034482758616,37
448.5344827586206,30
446.7586206896551,27
444.98275862068954,22
443.20689655172407,23
441.4310344827585,18
439.655172413793,18
437.87931034482745,15
436.103448275862,16
434.3275862068965,15
432.55172413793093,15
430.77586206896547,14
428.9999999999999,15
427.2241379310344,15
425.44827586206884,14
423.67241379310326,9
421.8965517241379,7
420.1206896551723,5
418.34482758620675,4
416.5689655172414,5
