wavelength,intensity
697.155172413793,1.0
695.3793103448276,1.125
693.603448275862,1.75
691.8275862068965,2.25
690.0517241379309,1.625
688.2758620689655,2.0
686.4999999999999,3.25
684.7241379310344,2.375
682.9482758620688,2.5
681.1724137931034,2.875
679.3965517241379,2.125
677.6206896551723,1.875
675.8448275862069,2.125
674.0689655172413,2.25
672.2931034482758,2.625
670.5172413793102,2.25
668.7413793103448,2.625
666.9655172413792,2.875
665.1896551724137,2.5
663.4137931034483,2.5
661.6379310344827,2.25
659.8620689655172,2.5
658.0862068965516,2.75
656.3103448275862,2.625
654.5344827586206,2.5
652.7586206896551,2.375
650.9827586206895,2.75
649.2068965517241,3.125
647.4310344827586,3.0
645.655172413793,3.0
643.8793103448276,2.5
642.103448275862,2.125
640.3275862068965,2.75
638.5517241379309,2.875
636.7758620689655,2.25
634.9999999999999,2.75
633.2241379310344,2.875
631.4482758620688,3.375
629.6724137931034,3.25
627.8965517241379,2.875
626.1206896551723,2.25
624.3448275862069,3.125
622.5689655172413,3.0
620.7931034482758,3.75
619.0172413793102,3.5
617.2413793103448,3.0
615.4655172413792,3.625
613.6896551724137,4.375
611.9137931034483,6.125
610.1379310344827,6.5
608.3620689655172,7.0
606.5862068965516,7.25
604.8103448275862,8.375
603.0344827586206,9.375
601.2586206896551,11.0
599.4827586206895,15.0
597.7068965517241,22.5
595.9310344827585,39.375
594.155172413793,66.125
592.3793103448276,85.125
590.603448275862,76.5
588.8275862068965,51.75
587.0517241379309,31.375
585.2758620689655,21.0
583.4999999999999,17.375
581.7241379310344,15.0
579.9482758620688,14.75
578.1724137931034,14.5
576.3965517241379,14.0
574.6206896551723,15.0
572.8448275862069,14.75
571.0689655172413,13.375
569.2931034482758,13.875
567.5172413793102,13.5
565.7413793103448,13.875
563.9655172413792,14.0
562.1896551724137,13.625
560.4137931034481,14.25
558.6379310344827,15.75
556.8620689655172,14.75
555.0862068965516,14.375
553.3103448275862,14.625
551.5344827586206,13.25
549.7586206896551,14.25
547.9827586206895,13.125
546.2068965517241,13.0
544.4310344827585,14.375
542.655172413793,14.0
540.8793103448276,13.125
539.103448275862,14.375
537.3275862068965,14.125
535.5517241379309,14.75
533.7758620689655,14.125
531.9999999999999,12.75
530.2241379310344,14.625
528.4482758620688,14.625
526.6724137931034,14.0
524.8965517241379,12.125
523.1206896551723,11.375
521.3448275862069,11.75
519.5689655172413,10.125
517.7931034482758,11.0
516.0172413793102,10.5
514.2413793103448,10.25
512.4655172413792,10.5
510.6896551724137,10.75
508.91379310344814,10.375
507.1379310344827,9.0
505.3620689655172,8.125
503.58620689655163,8.25
501.81034482758616,8.625
500.0344827586206,8.375
498.2586206896551,7.25
496.48275862068954,7.125
494.70689655172407,5.875
492.9310344827585,4.625
491.155172413793,4.75
489.37931034482756,5.75
487.603448275862,6.375
485.8275862068965,4.75
484.05172413793093,4.25
482.27586206896547,4.75
480.4999999999999,6.0
478.7241379310344,7.5
476.94827586206884,9.375
475.1724137931034,12.5
473.3965517241378,16.125
471.6206896551723,17.75
469.84482758620686,14.375
468.0689655172413,11.25
466.2931034482758,7.25
464.51724137931024,4.625
462.74137931034477,4.0
460.9655172413792,3.125
459.1896551724137,3.125
457.41379310344814,3.375
455.6379310344827,3.5
453.8620689655172,3.25
452.08620689655163,3.375
450.31034482758616,2.875
448.5344827586206,2.25
446.7586206896551,2.625
444.98275862068954,2.125
443.20689655172407,2.5
441.4310344827585,2.0
439.655172413793,1.625
437.87931034482745,1.625
436.103448275862,2.625
434.3275862068965,2.875
432.55172413793093,2.125
430.77586206896547,1.875
428.9999999999999,1.625
427.2241379310344,1.5
425.44827586206884,1.875
423.67241379310326,2.125
421.8965517241379,2.125
420.1206896551723,1.875
418.34482758620675,1.25
416.5689655172414,1.25
