wavelength,intensity
697.155172413793,0.875
695.3793103448276,1.0
693.603448275862,1.375
691.8275862068965,1.5
690.0517241379309,1.5
688.2758620689655,1.625
686.4999999999999,2.875
684.7241379310344,2.75
682.9482758620688,2.0
681.1724137931034,3.0
679.3965517241379,2.625
677.6206896551723,2.375
675.8448275862069,2.125
674.0689655172413,2.0
672.2931034482758,1.875
670.5172413793102,1.75
668.7413793103448,2.5
666.9655172413792,2.625
665.1896551724137,1.375
663.4137931034483,1.25
661.6379310344827,1.75
659.8620689655172,3.125
658.0862068965516,3.25
656.3103448275862,1.875
654.5344827586206,1.625
652.7586206896551,1.5
650.9827586206895,2.0
649.2068965517241,1.625
647.4310344827586,1.75
645.655172413793,2.0
643.8793103448276,2.0
642.103448275862,1.625
640.3275862068965,1.875
638.5517241379309,2.125
636.7758620689655,2.0
634.9999999999999,1.375
633.2241379310344,1.0
631.4482758620688,1.875
629.6724137931034,2.125
627.8965517241379,2.625
626.1206896551723,2.5
624.3448275862069,2.0
622.5689655172413,2.375
620.7931034482758,3.0
619.0172413793102,3.25
617.2413793103448,3.625
615.4655172413792,2.75
613.6896551724137,3.375
611.9137931034483,3.625
610.1379310344827,4.75
608.3620689655172,5.0
606.5862068965516,5.75
604.8103448275862,5.375
603.0344827586206,5.875
601.2586206896551,5.75
599.4827586206895,5.625
597.7068965517241,5.875
595.9310344827585,5.125
594.155172413793,6.625
592.3793103448276,8.125
590.603448275862,8.875
588.8275862068965,10.0
587.0517241379309,10.0
585.2758620689655,9.375
583.4999999999999,9.5
581.7241379310344,9.75
579.9482758620688,10.75
578.1724137931034,12.125
576.3965517241379,11.75
574.6206896551723,10.875
572.8448275862069,11.125
571.0689655172413,10.625
569.2931034482758,11.75
567.5172413793102,12.5
565.7413793103448,12.875
563.9655172413792,14.5
562.1896551724137,15.125
560.4137931034481,16.125
558.6379310344827,19.875
556.8620689655172,28.125
555.0862068965516,45.375
553.3103448275862,78.25
551.5344827586206,97.0
549.7586206896551,89.0
547.9827586206895,66.25
546.2068965517241,37.125
544.4310344827585,23.25
542.655172413793,16.5
540.8793103448276,15.375
539.103448275862,14.875
537.3275862068965,13.5
535.5517241379309,13.25
533.7758620689655,11.375
531.9999999999999,11.125
530.2241379310344,10.5
528.4482758620688,10.875
526.6724137931034,12.125
524.8965517241379,10.75
523.1206896551723,9.25
521.3448275862069,8.0
519.5689655172413,7.375
517.7931034482758,7.75
516.0172413793102,8.25
514.2413793103448,6.875
512.4655172413792,7.0
510.6896551724137,8.125
508.91379310344814,6.5
507.1379310344827,5.875
505.3620689655172,5.875
503.58620689655163,4.75
501.81034482758616,4.125
500.0344827586206,4.625
498.2586206896551,4.25
496.48275862068954,4.125
494.70689655172407,3.375
492.9310344827585,3.0
491.155172413793,3.375
489.37931034482756,2.875
487.603448275862,2.625
485.8275862068965,1.5
484.05172413793093,2.0
482.27586206896547,1.875
480.4999999999999,1.5
478.7241379310344,1.375
476.94827586206884,2.0
475.1724137931034,2.0
473.3965517241378,2.0
471.6206896551723,2.375
469.84482758620686,2.375
468.0689655172413,1.625
466.2931034482758,2.0
464.51724137931024,2.5
462.74137931034477,1.75
460.9655172413792,1.125
459.1896551724137,1.0
457.41379310344814,1.0
455.6379310344827,1.5
453.8620689655172,1.875
452.08620689655163,1.5
450.31034482758616,1.25
448.5344827586206,1.125
446.7586206896551,1.875
444.98275862068954,2.375
443.20689655172407,2.625
441.4310344827585,3.375
439.655172413793,4.625
437.87931034482745,6.0
436.103448275862,6.875
434.3275862068965,5.75
432.55172413793093,3.125
430.77586206896547,1.875
428.9999999999999,1.125
427.2241379310344,0.625
425.44827586206884,1.0
423.67241379310326,0.875
421.8965517241379,0.375
420.1206896551723,0.625
418.34482758620675,1.0
416.5689655172414,1.0
