wavelength,intensity
697.155172413793,1.75
695.3793103448276,3.875
693.603448275862,6.5
691.8275862068965,7.875
690.0517241379309,7.125
688.2758620689655,4.75
686.4999999999999,3.625
684.7241379310344,3.25
682.9482758620688,2.25
681.1724137931034,1.875
679.3965517241379,2.125
677.6206896551723,2.875
675.8448275862069,2.5
674.0689655172413,2.875
672.2931034482758,3.25
670.5172413793102,2.375
668.7413793103448,2.125
666.9655172413792,2.125
665.1896551724137,2.125
663.4137931034483,2.375
661.6379310344827,2.75
659.8620689655172,3.25
658.0862068965516,3.0
656.3103448275862,3.375
654.5344827586206,3.0
652.7586206896551,2.125
650.9827586206895,2.125
649.2068965517241,3.25
647.4310344827586,2.875
645.655172413793,2.75
643.8793103448276,1.5
642.103448275862,1.875
640.3275862068965,2.5
638.5517241379309,3.25
636.7758620689655,2.5
634.9999999999999,1.625
633.2241379310344,2.0
631.4482758620688,2.625
629.6724137931034,1.875
627.8965517241379,1.5
626.1206896551723,1.75
624.3448275862069,3.5
622.5689655172413,3.25
620.7931034482758,3.125
619.0172413793102,2.25
617.2413793103448,2.5
615.4655172413792,3.875
613.6896551724137,5.625
611.9137931034483,4.125
610.1379310344827,3.25
608.3620689655172,3.5
606.5862068965516,3.625
604.8103448275862,4.375
603.0344827586206,4.875
601.2586206896551,5.125
599.4827586206895,5.25
597.7068965517241,5.375
595.9310344827585,6.125
594.155172413793,6.625
592.3793103448276,7.625
590.603448275862,7.125
588.8275862068965,7.75
587.0517241379309,8.25
585.2758620689655,8.375
583.4999999999999,8.0
581.7241379310344,7.375
579.9482758620688,8.625
578.1724137931034,10.375
576.3965517241379,8.5
574.6206896551723,8.5
572.8448275862069,9.125
571.0689655172413,10.375
569.2931034482758,11.0
567.5172413793102,10.0
565.7413793103448,8.125
563.9655172413792,10.375
562.1896551724137,10.375
560.4137931034481,10.875
558.6379310344827,11.125
556.8620689655172,11.5
555.0862068965516,11.375
553.3103448275862,9.375
551.5344827586206,10.375
549.7586206896551,10.75
547.9827586206895,11.0
546.2068965517241,10.0
544.4310344827585,10.125
542.655172413793,12.25
540.8793103448276,11.5
539.103448275862,12.625
537.3275862068965,14.375
535.5517241379309,17.875
533.7758620689655,18.5
531.9999999999999,17.0
530.2241379310344,14.625
528.4482758620688,13.625
526.6724137931034,14.0
524.8965517241379,13.0
523.1206896551723,15.125
521.3448275862069,16.0
519.5689655172413,18.125
517.7931034482758,24.25
516.0172413793102,39.75
514.2413793103448,56.0
512.4655172413792,62.75
510.6896551724137,48.75
508.91379310344814,30.625
507.1379310344827,17.875
505.3620689655172,11.0
503.58620689655163,10.0
501.81034482758616,9.25
500.0344827586206,7.875
498.2586206896551,6.5
496.48275862068954,5.625
494.70689655172407,6.0
492.9310344827585,5.125
491.155172413793,4.0
489.37931034482756,3.125
487.603448275862,3.875
485.8275862068965,2.875
484.05172413793093,2.875
482.27586206896547,3.375
480.4999999999999,3.5
478.7241379310344,3.375
476.94827586206884,2.25
475.1724137931034,2.5
473.3965517241378,2.625
471.6206896551723,2.5
469.84482758620686,1.75
468.0689655172413,1.625
466.2931034482758,1.625
464.51724137931024,1.75
462.74137931034477,1.375
460.9655172413792,0.375
459.1896551724137,0.875
457.41379310344814,1.75
455.6379310344827,1.75
453.8620689655172,1.5
452.08620689655163,1.625
450.31034482758616,1.625
448.5344827586206,1.625
446.7586206896551,1.875
444.98275862068954,1.25
443.20689655172407,0.125
441.4310344827585,0.25
439.655172413793,0.5
437.87931034482745,0.375
436.103448275862,1.0
434.3275862068965,1.5
432.55172413793093,1.375
430.77586206896547,1.25
428.9999999999999,0.625
427.2241379310344,0.625
425.44827586206884,0.5
423.67241379310326,0.25
421.8965517241379,0.5
420.1206896551723,0.5
418.34482758620675,0.75
416.5689655172414,0.75
