wavelength,intensity
697.155172413793,1
695.3793103448276,3
693.603448275862,3
691.8275862068965,4
690.0517241379309,3
688.2758620689655,2
686.4999999999999,3
684.7241379310344,3
682.9482758620688,3
681.1724137931034,4
679.3965517241379,4
677.6206896551723,4
675.8448275862069,4
674.0689655172413,4
672.2931034482758,8
670.5172413793102,12
668.7413793103448,10
666.9655172413792,6
665.1896551724137,4
663.4137931034483,4
661.6379310344827,5
659.8620689655172,7
658.0862068965516,9
656.3103448275862,9
654.5344827586206,14
652.7586206896551,22
650.9827586206895,47
649.2068965517241,90
647.4310344827586,114
645.655172413793,117
643.8793103448276,81
642.103448275862,39
640.3275862068965,18
638.5517241379309,12
636.7758620689655,12
634.9999999999999,13
633.2241379310344,12
631.4482758620688,8
629.6724137931034,5
627.8965517241379,8
626.1206896551723,11
624.3448275862069,8
622.5689655172413,5
620.7931034482758,7
619.0172413793102,9
617.2413793103448,5
615.4655172413792,5
613.6896551724137,5
611.9137931034483,5
610.1379310344827,4
608.3620689655172,6
606.5862068965516,7
604.8103448275862,5
603.0344827586206,6
601.2586206896551,7
599.4827586206895,8
597.7068965517241,7
595.9310344827585,4
594.155172413793,4
592.3793103448276,5
590.603448275862,5
588.8275862068965,5
587.0517241379309,4
585.2758620689655,6
583.4999999999999,6
581.7241379310344,5
579.9482758620688,6
578.1724137931034,6
576.3965517241379,6
574.6206896551723,9
572.8448275862069,7
571.0689655172413,5
569.2931034482758,3
567.5172413793102,4
565.7413793103448,7
563.9655172413792,10
562.1896551724137,4
560.4137931034481,4
558.6379310344827,5
556.8620689655172,4
555.0862068965516,5
553.3103448275862,4
551.5344827586206,3
549.7586206896551,3
547.9827586206895,2
546.2068965517241,5
544.4310344827585,3
542.655172413793,4
540.8793103448276,4
539.103448275862,3
537.3275862068965,3
535.5517241379309,4
533.7758620689655,4
531.9999999999999,2
530.2241379310344,3
528.4482758620688,2
526.6724137931034,9
524.8965517241379,4
523.1206896551723,3
521.3448275862069,2
519.5689655172413,2
517.7931034482758,2
516.0172413793102,3
514.2413793103448,2
512.4655172413792,1
510.6896551724137,1
508.91379310344814,1
507.1379310344827,1
505.3620689655172,3
503.58620689655163,2
501.81034482758616,2
500.0344827586206,2
498.2586206896551,3
496.48275862068954,3
494.70689655172407,3
492.9310344827585,5
491.155172413793,9
489.37931034482756,11
487.603448275862,10
485.8275862068965,9
484.05172413793093,8
482.27586206896547,7
480.4999999999999,7
478.7241379310344,4
476.94827586206884,7
475.1724137931034,5
473.3965517241378,1
471.6206896551723,2
469.84482758620686,1
468.0689655172413,2
466.2931034482758,3
464.51724137931024,3
462.74137931034477,2
460.9655172413792,1
459.1896551724137,1
457.41379310344814,1
455.6379310344827,1
453.8620689655172,1
452.08620689655163,1
450.31034482758616,2
448.5344827586206,2
446.7586206896551,2
444.98275862068954,2
443.20689655172407,3
441.4310344827585,1
439.655172413793,1
437.87931034482745,1
436.103448275862,2
434.3275862068965,3
432.55172413793093,3
430.77586206896547,3
428.9999999999999,1
427.2241379310344,1
425.44827586206884,1
423.67241379310326,1
421.8965517241379,1
420.1206896551723,1
418.34482758620675,1
416.5689655172414,2
,
