wavelength,intensity
697.155172413793,1
695.3793103448276,1
693.603448275862,1
691.8275862068965,0
690.0517241379309,1
688.2758620689655,1
686.4999999999999,3
684.7241379310344,2
682.9482758620688,2
681.1724137931034,2
679.3965517241379,3
677.6206896551723,3
675.8448275862069,3
674.0689655172413,3
672.2931034482758,5
670.5172413793102,3
668.7413793103448,3
666.9655172413792,3
665.1896551724137,3
663.4137931034483,2
661.6379310344827,2
659.8620689655172,3
658.0862068965516,4
656.3103448275862,4
654.5344827586206,5
652.7586206896551,3
650.9827586206895,3
649.2068965517241,4
647.4310344827586,6
645.655172413793,3
643.8793103448276,3
642.103448275862,3
640.3275862068965,4
638.5517241379309,7
636.7758620689655,9
634.9999999999999,8
633.2241379310344,10
631.4482758620688,19
629.6724137931034,31
627.8965517241379,60
626.1206896551723,91
624.3448275862069,89
622.5689655172413,83
620.7931034482758,46
619.0172413793102,21
617.2413793103448,12
615.4655172413792,7
613.6896551724137,5
611.9137931034483,6
610.1379310344827,6
608.3620689655172,7
606.5862068965516,7
604.8103448275862,7
603.0344827586206,6
601.2586206896551,4
599.4827586206895,7
597.7068965517241,7
595.9310344827585,6
594.155172413793,6
592.3793103448276,6
590.603448275862,6
588.8275862068965,4
587.0517241379309,4
585.2758620689655,8
583.4999999999999,9
581.7241379310344,8
579.9482758620688,7
578.1724137931034,8
576.3965517241379,9
574.6206896551723,6
572.8448275862069,5
571.0689655172413,5
569.2931034482758,3
567.5172413793102,3
565.7413793103448,4
563.9655172413792,4
562.1896551724137,5
560.4137931034481,6
558.6379310344827,4
556.8620689655172,3
555.0862068965516,4
553.3103448275862,4
551.5344827586206,3
549.7586206896551,3
547.9827586206895,4
546.2068965517241,5
544.4310344827585,6
542.655172413793,4
540.8793103448276,3
539.103448275862,3
537.3275862068965,3
535.5517241379309,3
533.7758620689655,3
531.9999999999999,3
530.2241379310344,2
528.4482758620688,3
526.6724137931034,3
524.8965517241379,1
523.1206896551723,1
521.3448275862069,1
519.5689655172413,0
517.7931034482758,1
516.0172413793102,0
514.2413793103448,1
512.4655172413792,1
510.6896551724137,1
508.91379310344814,2
507.1379310344827,1
505.3620689655172,1
503.58620689655163,0
501.81034482758616,2
500.0344827586206,0
498.2586206896551,1
496.48275862068954,1
494.70689655172407,1
492.9310344827585,1
491.155172413793,1
489.37931034482756,1
487.603448275862,1
485.8275862068965,0
484.05172413793093,0
482.27586206896547,1
480.4999999999999,0
478.7241379310344,0
476.94827586206884,2
475.1724137931034,2
473.3965517241378,0
471.6206896551723,1
469.84482758620686,1
468.0689655172413,3
466.2931034482758,1
464.51724137931024,3
462.74137931034477,7
460.9655172413792,7
459.1896551724137,2
457.41379310344814,1
455.6379310344827,0
453.8620689655172,0
452.08620689655163,0
450.31034482758616,1
448.5344827586206,1
446.7586206896551,1
444.98275862068954,1
443.20689655172407,0
441.4310344827585,1
439.655172413793,1
437.87931034482745,2
436.103448275862,4
434.3275862068965,2
432.55172413793093,14
430.77586206896547,2
428.9999999999999,1
427.2241379310344,2
425.44827586206884,2
423.67241379310326,1
421.8965517241379,0
420.1206896551723,0
418.34482758620675,0
416.5689655172414,0
,
,
