wavelength,intensity
697.155172413793,4
695.3793103448276,1
693.603448275862,0
691.8275862068965,1
690.0517241379309,4
688.2758620689655,1
686.4999999999999,1
684.7241379310344,2
682.9482758620688,3
681.1724137931034,3
679.3965517241379,3
677.6206896551723,3
675.8448275862069,3
674.0689655172413,4
672.2931034482758,4
670.5172413793102,4
668.7413793103448,4
666.9655172413792,3
665.1896551724137,2
663.4137931034483,3
661.6379310344827,3
659.8620689655172,3
658.0862068965516,4
656.3103448275862,5
654.5344827586206,5
652.7586206896551,6
650.9827586206895,5
649.2068965517241,4
647.4310344827586,2
645.655172413793,3
643.8793103448276,4
642.103448275862,3
640.3275862068965,3
638.5517241379309,5
636.7758620689655,5
634.9999999999999,3
633.2241379310344,2
631.4482758620688,4
629.6724137931034,5
627.8965517241379,6
626.1206896551723,7
624.3448275862069,5
622.5689655172413,3
620.7931034482758,4
619.0172413793102,5
617.2413793103448,5
615.4655172413792,5
613.6896551724137,6
611.9137931034483,6
610.1379310344827,9
608.3620689655172,13
606.5862068965516,18
604.8103448275862,24
603.0344827586206,42
601.2586206896551,71
599.4827586206895,109
597.7068965517241,131
595.9310344827585,101
594.155172413793,65
592.3793103448276,34
590.603448275862,14
588.8275862068965,8
587.0517241379309,7
585.2758620689655,8
583.4999999999999,10
581.7241379310344,10
579.9482758620688,8
578.1724137931034,6
576.3965517241379,6
574.6206896551723,5
572.8448275862069,5
571.0689655172413,4
569.2931034482758,2
567.5172413793102,3
565.7413793103448,3
563.9655172413792,2
562.1896551724137,3
560.4137931034481,3
558.6379310344827,5
556.8620689655172,3
555.0862068965516,4
553.3103448275862,5
551.5344827586206,3
549.7586206896551,4
547.9827586206895,5
546.2068965517241,5
544.4310344827585,5
542.655172413793,5
540.8793103448276,4
539.103448275862,3
537.3275862068965,3
535.5517241379309,4
533.7758620689655,4
531.9999999999999,4
530.2241379310344,4
528.4482758620688,2
526.6724137931034,2
524.8965517241379,2
523.1206896551723,3
521.3448275862069,2
519.5689655172413,2
517.7931034482758,1
516.0172413793102,1
514.2413793103448,1
512.4655172413792,1
510.6896551724137,2
508.91379310344814,1
507.1379310344827,0
505.3620689655172,3
503.58620689655163,1
501.81034482758616,2
500.0344827586206,3
498.2586206896551,3
496.48275862068954,1
494.70689655172407,0
492.9310344827585,1
491.155172413793,1
489.37931034482756,0
487.603448275862,0
485.8275862068965,1
484.05172413793093,3
482.27586206896547,1
480.4999999999999,0
478.7241379310344,3
476.94827586206884,6
475.1724137931034,5
473.3965517241378,2
471.6206896551723,0
469.84482758620686,0
468.0689655172413,1
466.2931034482758,0
464.51724137931024,0
462.74137931034477,0
460.9655172413792,0
459.1896551724137,0
457.41379310344814,1
455.6379310344827,1
453.8620689655172,0
452.08620689655163,1
450.31034482758616,0
448.5344827586206,1
446.7586206896551,1
444.98275862068954,1
443.20689655172407,2
441.4310344827585,2
439.655172413793,2
437.87931034482745,2
436.103448275862,1
434.3275862068965,0
432.55172413793093,0
430.77586206896547,0
428.9999999999999,1
427.2241379310344,1
425.44827586206884,2
423.67241379310326,1
421.8965517241379,1
420.1206896551723,0
418.34482758620675,0
416.5689655172414,0
,
